Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;338632;;;Nödstopp SMILE  JOKAB/ABB;58,06;;;;
V;338636;;;Säkerhetskomp med AS-i JOKAB/ABB;58,06;;;;
V;338640;;;Säkerhets-PLC medTbh JOKAB/ABB;58,60;;;;
V;338644;;;Säkerhetsrelä medTbh JOKAB/ABB;58,60;;;;
V;338648;;;Säkerhetssystem VITAL o TINA  JOKAB/ABB;61,29;;;;
V;338662;;;Basmodul HP Pilz;10,76;;;;
V;338663;;;Kablage PSSu HR Pilz;10,76;;;;
V;338665;;;Elektronikmodul HT Pilz;10,76;;;;
V;338672;;;Gångjärnsbrytare E7 Pilz;17,06;;;;
V;338676;;;Ingångsnod NN Pilz;19,35;;;;
V;338683;;;Grindsystem J7 Pilz;10,76;;;;
V;338686;;;RFID brytare NI Pilz;10,76;;;;
V;338688;;;Grindsystem I2 Pilz;17,72;;;;
V;338692;;;Säkerhetsrelä FT Pilz;8,86;;;;
V;338693;;;Säkerhetsrelä FU Pilz;16,46;;;;
V;338696;;;PNOZ TBH FZ Pilz;16,46;;;;
V;338700;;;Induktiv givare P+F I;44,80;;;;
V;338702;;;Induktiv givare P+F II;36,71;;;;
V;338706;;;Kablage & kontakt P+F I;37,66;;;;
V;338712;;;Tbh givare P+F;43,09;;;;
V;338720;;;Fotocell P+F;38,30;;;;
V;338730;;;Ultraljudsgivare P+F I;35,16;;;;
V;338732;;;Ultraljudsgivare P+F II;36,34;;;;
V;338734;;;Ultraljudsgivare P+F III;27,56;;;;
V;338750;;;Induktiva givare I Balluff;34,53;;;;
V;338754;;;Fotoceller I Balluff;22,70;;;;
V;338758;;;Ultraljudsgivare I Balluff;28,38;;;;
V;338762;;;Kapactiva givare I Balluff;33,27;;;;
V;338766;;;Givare tbh I Balluff;6,49;;;;
V;338782;;;Detektering SICK;39,78;;;;
V;338783;;;Nätverk/anslutning  SICK;39,78;;;;
V;338784;;;Rörelsesensorer  SICK;39,78;;;;
V;338785;;;Säkerhet SICK;39,78;;;;
V;338786;;;Tillbehör SICK;41,94;;;;
V;338800;;;Övervakningsrelä ABB;59,15;;;;
V;338801;;;Maskinsäkerhet FA Omron;40,86;;;;
V;338802;;;Fotoceller GD Omron;39,78;;;;
V;338803;;;Ind/Kap. Givare GE  Omron;40,86;;;;
V;338804;;;Avc. Sensorer GA Omron;40,86;;;;
V;338805;;;Övervakning DB Omron;39,78;;;;
V;338806;;;Temp. & Process. DF Omron;40,86;;;;
V;338807;;;Säkerhetsreläer FB Omron;39,78;;;;
V;338840;;;Nivåvakt CONDOR;84,51;;;;
V;338842;;;Tryckvakt CONDOR;73,50;;;;
V;338850;;;Kontrollrelä Eldon;58,97;;;;
V;338880;;;Kablage till givare 7 Murr I;63,44;;;;
V;338882;;;Kablage till givare 7 Murr II;63,44;;;;
V;338883;;;Kablage till givare 7 Murr III;62,37;;;;
V;338884;;;Distribuerade system M12 I 8 MURR;44,09;;;;
V;338905;;;Nödstopp EV Pilz;1,27;;;;
V;338907;;;Säkerhetsrelä FI Pilz;17,72;;;;
V;338908;;;Säkerhetsrelä FJ Pilz;27,54;;;;
V;338909;;;Expansionsrelä FK Pilz;17,72;;;;
V;338910;;;Säkerhetsrelä FL Pilz;17,72;;;;
V;338912;;;Säkerhetsrelä FO Pilz;21,06;;;;
V;338913;;;Säkerhetsrelä FP Pilz;17,72;;;;
V;338916;;;RFID brytare GF Pilz;17,72;;;;
V;338917;;;Magnetbrytare GH Pilz;17,72;;;;
V;338918;;;Magnetbrytare GI Pilz;17,72;;;;
V;338920;;;Mek säkerhetsbrytare GK Pilz;17,72;;;;
V;338921;;;Mek säkerhetsbrytare GL Pilz;17,72;;;;
V;338922;;;Nyckel GM Pilz;17,72;;;;
V;338923;;;Säkerhetsrelä IC Pilz;17,72;;;;
V;338925;;;Tryckknapp IR Pilz;17,72;;;;
V;338929;;;Ljusbom enstrålig GN Pilz;24,05;;;;
V;338937;;;Säkerhetsrelä PNOZ G8 Pilz;30,38;;;;
V;338938;;;Säkerhetsrelä PNOZ G9 Pilz;34,02;;;;
V;338941;;;Säkerhetsrelä GC Pilz;30,38;;;;
V;338946;;;Huvudmodul IU;15,82;;;;
V;338950;;;Övervakningsrelä Phönix;39,04;;;;
V;338952;;;Kablage Phönix;34,38;;;;
V;338953;;;Kablage AG Phoenix;25,32;;;;
V;338954;;;Säkerhetsrelä Phönix;38,62;;;;
V;338959;;;Huvudmodul NB Pilz;27,96;;;;
V;338970;;;Gränslägen Eaton 2500;16,89;;;;
V;338989;;;IFM Lista 38_9,10,14,15,25,35,40;30,68;;;;
V;338990;;;IFM lista 38_5,12,21,26,41;18,99;;;;
V;338994;;;Solar Netto;50,00;;;;
V;338995;;;Solar Plus;50,00;;;;
V;340102;;;Tidrelä 700-FS/FE/FF II B5190 A-B;78,82;;;;
V;340104;;;Relä Slimline 700-HK B5204 A-B;64,43;;;;
V;340106;;;Sockel & clip 700-HN B5201 A-B;64,49;;;;
V;340108;;;Minirelä 700-HC B5193 A-B;74,73;;;;
V;340110;;;Minirelä 700-HP B5206 A-B;73,06;;;;
V;340112;;;Interfacerelä 700-HL B5205 A-B;63,11;;;;
V;340114;;;Nöd- & linnödstopp Tbh 440E E8637 A-B;51,42;;;;
V;340116;;;Tbh plugg-in 700-A B5200 A-B;69,46;;;;
V;340118;;;Grindbrytare Trojan 440K E8636 A-B;54,68;;;;
V;340120;;;Tidrelä 700-HR B5194 A-B;72,16;;;;
V;340122;;;Tidrelä digitalt  700-HX/HXM B5196 A-B;74,68;;;;
V;340124;;;Säkerhetsrelä 440R II E8644 A-B;45,57;;;;
V;340126;;;Ringledartrafo R9 SU  =S=;59,87;;;;
V;340128;;;Gränslägesbrytare Metall 440P E8642 A-B;33,92;;;;
V;340130;;;Industrirelä 700-HA B5191 A-B;60,97;;;;
V;340132;;;Insticksrelä 700-HB/HD B5192 A-B;66,46;;;;
V;340134;;;Relä statiskt 700-SH B5203 A-B;58,23;;;;
V;340137;;;Signalomvandlare 931 B5083 A-B;62,03;;;;
V;340150;;;Insutri Reläer CC Omron;40,86;;;;
V;340151;;;Tillbehör CF Omron;42,58;;;;
V;340152;;;SS Reläer CI Omron;40,86;;;;
V;340153;;;Tidsreläer DG Omron;40,86;;;;
V;340200;;;Relä elektroniskt medTbh Eltako;62,45;;;;
V;340202;;;Tidrelä Eltako;63,01;;;;
V;340204;;;Relä mekaniska medTbh Eltako;68,72;;;;
V;340206;;;Kontrollrelä Eltako;66,57;;;;
V;340250;;;Plugg-in Relä RX/RU/AB.R/S FC =S=O;72,24;;;;
V;340251;;;Plugg-in relä RXG FB =S=O;63,54;;;;
V;340252;;;Relä RE/Zelio control FC =S=O;65,90;;;;
V;340253;;;Zelio Solid state relä FD =S=O;71,86;;;;
V;340254;;;Normrelä A9 SA =S=O;41,38;;;;
V;340255;;;Tidrelä RE + Zelio Time FC =S=O;67,62;;;;
V;340256;;;iC60 övriga produkter SA =S=O;40,87;;;;
V;340257;;;XA2/Style 5 IB =S=O;61,39;;;;
V;340258;;;Tidrelä A9 SA =S=O;38,97;;;;
V;340259;;;Plugg-in Relä RX/RU/AB.R/S FB =S=O;71,07;;;;
V;340260;;;Impulsrelä GF BJ =S=O;58,54;;;;
V;340262;;;Normrelä TL SN/SP QR =S=O;67,34;;;;
V;340300;;;N-komponenter Huvudbrytare 028 SIE;79,20;;;;
V;340302;;;Solidstaterelä 3RF20-24 3RF29 41C SIE;86,64;;;;
V;340304;;;Minikontaktor relä/tid/säk 41H SIE;79,00;;;;
V;340306;;;N-komp timers & kopplingsurSIE;71,33;;;;
V;340308;;;N-komp Mätapparater, elmätare 033 SIE;84,39;;;;
V;340310;;;N-komp Övervakningsapp storhet 027 SIE;78,73;;;;
V;340320;;;Signalomv I 3RS SIE;73,24;;;;
V;340400;;;Relä riderserien E533 Weidm;60,59;;;;
V;340402;;;Relä microserien E532 Weidm;60,64;;;;
V;340412;;;Signalomv Microserien E542 Weidm;53,87;;;;
V;340417;;;Signalomvandlare E543 Weidm;51,38;;;;
V;340500;;;Plugg-in relä ABB;63,57;;;;
V;340502;;;Tidrelä ABB;58,00;;;;
V;340504;;;Normrelä ABB;51,13;;;;
V;340508;;;Tidrelä II ABB;53,76;;;;
V;340509;;;Tidrelä III ABB;58,41;;;;
V;340650;;;Industrirelä 200 Carlo Gavazzi;25,19;;;;
V;340652;;;Reläsockel 190 Carlo Gavazzi;25,19;;;;
V;340656;;;Tidrelä 080 Carlo Gavazzi;35,91;;;;
V;340850;;;Normrelä Eldon;53,16;;;;
V;340860;;;Normrelä Hager;64,00;;;;
V;340880;;;Interfacerelä 3 Murr;48,72;;;;
V;340960;;;Relä Phönix;42,70;;;;
V;340970;;;Relä Eaton 2500;16,89;;;;
V;340990;;;Solar Plus;50,00;;;;
V;340994;;;Solar Netto;50,00;;;;
V;340995;;;Solar Plus;50,00;;;;
V;342100;;;Mätinstrument Fluke II;28,61;;;;
V;342101;;;Mätinstrument Fluke I;19,44;;;;
V;342102;;;Instrument Pre-Reg Dr-X00 Fluke;23,73;;;;
V;342108;;;Instrument Networks 25 Fluke;17,73;;;;
V;342110;;;Instrument Networks 23 Fluke;23,73;;;;
V;342112;;;Instrument SM Moduler Fluke;16,66;;;;
V;342114;;;Rengörning A Fluke;24,82;;;;
V;342116;;;Rengörning B Fluke;24,82;;;;
V;342118;;;Instrument AJ Fluke;27,04;;;;
V;342120;;;Instrument AM Fluke;26,65;;;;
V;342150;;;Strömtrafo Hager;49,24;;;;
V;342151;;;Räknare DA Omron;47,31;;;;
V;342152;;;Värmedetekt. RA Omron;43,01;;;;
V;342153;;;Panelinstrument DC Omron;43,01;;;;
V;342202;;;Mätinstrument Testboy I;28,76;;;;
V;342206;;;Mätinstrument Yokogawa;26,83;;;;
V;342212;;;Mätinstrument Amprobe III;20,73;;;;
V;342220;;;Mätinstrument I Elit;38,78;;;;
V;342222;;;Mätinstrument II Elit;38,78;;;;
V;342230;;;Mätinstrument I Elma;34,12;;;;
V;342232;;;Mätinstrument II Elma;35,36;;;;
V;342234;;;Mätinstrument III Elma;35,20;;;;
V;342236;;;Mätinstrument IV Elma;27,55;;;;
V;342238;;;Mätinstrument V Elma;27,55;;;;
V;342240;;;Mätinstrument VI Värmekameror Elma;51,21;;;;
V;342303;;;Thermo Lapp;47,85;;;;
V;342304;;;Summa- & timräknare FE =S=;49,47;;;;
V;342306;;;Drifttidsmätare Style 5 IB =S=O;62,10;;;;
V;342310;;;Wiser Energy H7 =S=O;74,50;;;;
V;342312;;;Wiser Energy RA =S=O;79,50;;;;
V;342314;;;Strömtrafo, kombi instrument (UF) =S=O;79,76;;;;
V;342315;;;Strömtrafo, kombi instrument 6A =S=O;79,76;;;;
V;342318;;;Strömtrafo, powertag UF =S=O;78,63;;;;
V;342320;;;Elnätsmodem, Energisensor UF =S=O;44,06;;;;
V;342402;;;Drifttidsmätare MULLER;60,73;;;;
V;342406;;;Instrument Weidmuller;33,90;;;;
V;342454;;;Strömtrafo 110 Carlo Gavazzi;64,65;;;;
V;342456;;;Instrument 100 Garlo Cavazzi;26,08;;;;
V;342500;;;Strömtrafo TÄLJE;44,18;;;;
V;342514;;;Tbh TÄLJE;37,54;;;;
V;342520;;;Fasföljdsindikering TÄLJE;36,34;;;;
V;342522;;;Jordfelsrelä norm TÄLJE;33,80;;;;
V;342524;;;Jordfelsrelä TÄLJE;30,49;;;;
V;342528;;;Omkopplare TÄLJE;36,34;;;;
V;342600;;;Tbh plint övriga II P179 Weidm;54,32;;;;
V;342680;;;Strömtrafo Garo;61,39;;;;
V;342681;;;STRÖMTRAFO GARO E-mobility;40,00;;;;
V;342820;;;Mätnig/omvandling I Phönix;37,76;;;;
V;342822;;;Mätnig/omvandling II Phönix;0,00;;;;
V;342830;;;Testinstrument Kamic;61,33;;;;
V;342850;;;Mätverktyg Benning;43,34;;;;
V;342864;;;Mätinstrument  ICT;35,76;;;;
V;342870;;;Elmätare PAC 3200+4200Tbh 133 Sie;48,96;;;;
V;342970;;;EATON LISTA 42 2500;15,62;;;;
V;342994;;;Solar Netto;50,00;;;;
V;342995;;;Solar Plus;50,00;;;;
V;345108;;;SIMATIC S7-1200 212 SIE;30,43;;;;
V;345110;;;SIMATIC S7-1500 Tbh 215 SIE;14,68;;;;
V;345115;;;Industridatorer 202 SIE;21,00;;;;
V;345116;;;Industridatorer 203 SIE;21,00;;;;
V;345117;;;Industridatorer 205 SIE;21,00;;;;
V;345122;;;SIMATIC NET PB OLM 5O1 SIE;11,67;;;;
V;345124;;;SIMATIC NET PC CP 5P5 SIE;8,23;;;;
V;345126;;;SIMATIC NET PLC CP 5P2 SIE;11,67;;;;
V;345130;;;SIMATIC NET Speckabel kontakt 5K2 SIE;8,24;;;;
V;345132;;;SIMATIC NET Stdkabel kontakter 5K1 SIE;14,29;;;;
V;345134;;;SIMATIC NET Telecontrol 5T1 SIE;1,71;;;;
V;345156;;;SIMATIC HMI Sentron mjukvaror 277 SIE;2,53;;;;
V;345160;;;SIMATIC Engineeringverktyg 266 SIE;6,92;;;;
V;345161;;;SIMATIC ET 200iSP 4C7 SIE;0,00;;;;
V;345162;;;SIMATIC ET200SP Siwarex 255 SIE;15,82;;;;
V;345168;;;SIMATIC ProfibusDP 250 SIE;5,06;;;;
V;345170;;;SIMATIC Sensors - RFID 572 SIE;3,53;;;;
V;345172;;;SIMATIC PCI Exp 265 SIE;29,41;;;;
V;345173;;;SIMATIC TOP Connect 592 SIE;12,95;;;;
V;345176;;;SIPLUS LOGO! 470 SIE;24,76;;;;
V;345177;;;SIPLUS S7-300 473 SIE;10,99;;;;
V;345178;;;SIWAREX CS/CM 816 SIE;0,00;;;;
V;345179;;;SIWAREX vägningssystem 815 SIE;2,00;;;;
V;345190;;;AS-i ASisafe, ASi Link, IO-Link 42C SIE;36,91;;;;
V;345193;;;LOGO! 200 II SIE;27,90;;;;
V;345194;;;Motorstartare M200D AS-i DP 42D SIE;32,30;;;;
V;345200;;;1732 ArmorBlock I/O D6541 A-B;24,76;;;;
V;345201;;;1734 Point I/O D6542 A-B;34,09;;;;
V;345203;;;1746 SLC I/O D6537 A-B;14,33;;;;
V;345206;;;1756 CLX CPU & servomodul D5530 A-B;22,24;;;;
V;345208;;;1756 CLX I/0 &Tbh D6539 A-B;24,23;;;;
V;345211;;;1761 MicroLogix 1000 J5524 A-B;23,29;;;;
V;345214;;;1762 MicroLogix Exp Mod 1200 J5526 A-B;30,09;;;;
V;345215;;;1763 MicroLogix 1100 J5525 A-B;24,05;;;;
V;345217;;;1766 MicroLogix 1400 J5792 A-B;29,50;;;;
V;345218;;;1769- 5370 L1/L2 CompactLogix K140B A-B;12,06;;;;
V;345219;;;5069 CompactLogix N253F A-B;8,49;;;;
V;345220;;;1769- 5370 L3 CompactLogix K131A A-B;20,94;;;;
V;345222;;;1769 CompactLogix I/O &Tbh K8540 A-B;20,39;;;;
V;345225;;;1791 DS/ES Cpt Block Guard I/O D6698 A-B;18,16;;;;
V;345226;;;1794 Flex I/O D6545 A-B;25,16;;;;
V;345233;;;Filter 2090 H1817 A-B;14,33;;;;
V;345240;;;Micro800Tbh K917A A-B;11,39;;;;
V;345241;;;Micro810 K913A A-B;16,65;;;;
V;345242;;;Micro820 K962E A-B;12,66;;;;
V;345244;;;Micro850 Exp K979D A-B;24,56;;;;
V;345245;;;Micro850 K915A A-B;22,64;;;;
V;345248;;;PanelView CTbh D8567 A-B;6,33;;;;
V;345251;;;PanelView Plus 7 5.7" D883E A-B;11,39;;;;
V;345255;;;'PanelView 800 10" D8566 A-B;15,19;;;;
V;345256;;;PanelView Plus 7 12" D888E A-B;16,99;;;;
V;345258;;;PanelView Plus 7Adv 7-12" D876E A-B;4,77;;;;
V;345274;;;PanelView Plus 6Tbh D8563 A-B;7,59;;;;
V;345285;;;RSLinx Classic / RSNetworx E3587 A-B;8,86;;;;
V;345286;;;RSLogix 5000 E3590 A-B;13,95;;;;
V;345287;;;Tbh ControlNet D6538 A-B;20,13;;;;
V;345300;;;Distr I/O Advantys QR =S=O;43,37;;;;
V;345301;;;PLC M221 Q1 =S=O;31,01;;;;
V;345302;;;Zelio Logic Q1 =S=O;51,88;;;;
V;345303;;;PLC M241 Q1 =S=O;24,56;;;;
V;345304;;;PLC M340 Q0 =S=O;47,38;;;;
V;345305;;;PLC M251 Q1 =S=O;24,56;;;;
V;345306;;;Operatörsterminal XBTG IZ =S=O;48,48;;;;
V;345307;;;TM3 IO-moduler FY =S=O;34,12;;;;
V;345310;;;PLC TSX Micro KK =S=O;43,72;;;;
V;345311;;;LMC058 Motion Control QX =S=O;18,99;;;;
V;345312;;;AS-i MAC IC =S=O;60,26;;;;
V;345313;;;TM3 IO-moduler Q1 =S=O;32,72;;;;
V;345315;;;TM3 IO-moduler Q1 =S=O;31,19;;;;
V;345328;;;HMI Operatörsterminal QA =S=O;42,27;;;;
V;345330;;;Kablage XZCC II KN TESE;56,53;;;;
V;345334;;;Operatörsterminal XBTN/R/F/HM/PM QG =S=O;36,71;;;;
V;345337;;;PLC M171 HVAc Controller QV =S=O;19,59;;;;
V;345338;;;Lexium drivers QW =S=O;0,76;;;;
V;345350;;;Mjukvaror BA Omron;42,69;;;;
V;345400;;;Distribuerad I/O Wago;27,99;;;;
V;345500;;;Anybus X-Gateway Communicator HMS;17,50;;;;
V;345502;;;Fältbusskomponent 5 Murr;53,76;;;;
V;345503;;;Fältbusskomponenter 7 MURR;50,54;;;;
V;345504;;;Tbh Fältbusskomponenter 7 MURR;57,53;;;;
V;345600;;;Distr I/O U-Remote Weidm I;2,28;;;;
V;345800;;;LOGO! 200 I SIE;19,76;;;;
V;345804;;;SIMATIC IOT 204 SIE;8,69;;;;
V;345812;;;SIMATIC S7-1200 Tbh 212 SIE;26,62;;;;
V;345813;;;SIMATIC S7-1200 SF 213 SIE;18,98;;;;
V;345814;;;SIMATIC S7-1500T 214 SIE;13,62;;;;
V;345815;;;SIMATIC S7-1500 215 SIE;13,62;;;;
V;345816;;;SIMATIC S7-1500F Failsafe Adv216 SIE;13,62;;;;
V;345817;;;S7 1200 Startpaket SIE;32,26;;;;
V;345818;;;SIMATIC Failsafe Tools 218 SIE;8,69;;;;
V;345819;;;SIMATIC S7-1500 I/O, ET200MP IM 219 SIE;13,62;;;;
V;345830;;;SIMATIC S7-300 CPU med tbh 230  SIE;14,27;;;;
V;345831;;;SIMATIC S7-300 I/O med tbh 231 SIE;14,27;;;;
V;345837;;;SIMATIC HMI Basic panel 237 SIE;20,71;;;;
V;345839;;;SIMATIC HMI Comfort panel 239 SIE;13,62;;;;
V;345840;;;SIMATIC S7-400 240 SIE;9,39;;;;
V;345841;;;SIMATIC Failsafe S7 ProfibusDP 241 SIE;11,71;;;;
V;345842;;;FAILSAFE S7-CPU 242 SIE;8,69;;;;
V;345850;;;SIMATIC ProfibusDP ET200 250 SIE;17,16;;;;
V;345854;;;SIMATIC ET200AL 254 SIE;16,21;;;;
V;345855;;;SIMATIC ET200SP 255 SIE;27,92;;;;
V;345856;;;SIMATIC ET200SP F 256 SIE;13,62;;;;
V;345857;;;SIMATIC ET200eco PN 257 SIE;15,34;;;;
V;345860;;;SIMATIC PG 260 SIE;0,00;;;;
V;345865;;;SIMATIC Standardverktyg 265 SIE;10,56;;;;
V;345866;;;SIMATIC Engineeringv 266 SIE;1,76;;;;
V;345870;;;SIMATIC HMI Paneler 07x / 17x 270 SIE;11,71;;;;
V;345875;;;SIMATIC HMI Flatpanel-PC67x/87x 275 SIE;8,70;;;;
V;345876;;;SIMATIC HMI mjukvara WinCC 276 SIE;8,69;;;;
V;345877;;;SIMATIC HMI Runtime-mjukvaror 277 SIE;16,21;;;;
V;345880;;;SIMATIC PCS 7 280 SIE;11,71;;;;
V;345887;;;TELEPERM 287 SIE;10,16;;;;
V;345960;;;Moduler/Kablage Phönix;24,56;;;;
V;345961;;;Moduler/Kablage II AE Phoenix;18,97;;;;
V;345962;;;Moduler/Kablage AG Phoenix;25,32;;;;
V;345994;;;Solar Netto;50,00;;;;
V;345995;;;Solar Plus;50,00;;;;
V;348102;;;Signalkabel Hf Nexans;72,33;;;;
V;348108;;;Signalkablar brandsäkra Alesure Nexans;75,44;;;;
V;348112;;;Apparatkabel Nexans;76,16;;;;
V;348114;;;Koaxialkabel Typ Ktv Nexans;69,31;;;;
V;348116;;;Telekabel Utomhus Nexans;79,84;;;;
V;348120;;;Kopplingskabel ENUBB Nexans;64,69;;;;
V;348134;;;Telekabel ELAQBY Nexans;68,19;;;;
V;348136;;;Telekabel ELAQPQB Nexans;64,50;;;;
V;348138;;;Telekabel EQQXB Nexans;71,96;;;;
V;348140;;;Telekabel ELEQB Nexans;67,70;;;;
V;348142;;;Telekabel J-H(ST)H Nexans;64,50;;;;
V;348144;;;Telekabel PTS-HF Nexans;62,88;;;;
V;348146;;;Telekabel EQQRB Nexans;70,31;;;;
V;348148;;;Telekabel FQQXB Nexans;64,80;;;;
V;348150;;;Telekabel FLQQBR Nexans;70,16;;;;
V;348152;;;Telekabel FLAQQBR Nexans;67,64;;;;
V;348154;;;Telekabel EQQYB Nexans;65,94;;;;
V;348156;;;RQQ LED Nexans AB;40,10;;;;
V;348202;;;Telekabel ELQYB NKT;54,00;;;;
V;348204;;;EQQXB Noburn  NKT;54,00;;;;
V;348250;;;Aptus kabel ASSA;45,26;;;;
V;348259;;;Brandlarmskabel Ateco;25,93;;;;
V;348268;;;Detektorkabel Ateco;23,70;;;;
V;348302;;;Telekabel inhus övriga;73,49;;;;
V;348400;;;LIYY / LIYCY;81,45;;;;
V;348404;;;LIYY LAPP;78,82;;;;
V;348406;;;LIYCY LAPP;80,38;;;;
V;348410;;;Signalkabel LAPP;81,88;;;;
V;348412;;;Signalkabel LIYCY;55,68;;;;
V;348500;;;Audiokablar Jenving;74,11;;;;
V;348520;;;LIHH / LIHCH Solar Cable;49,01;;;;
V;348550;;;Koaxialkabel Macab;30,91;;;;
V;348600;;;Detektorkabel Malux;60,87;;;;
V;348650;;;QnE Diverse QnE RQUB PM Flex PM6C2;72,91;;;;
V;348654;;;QnE FQ/RQ QnE PM Flex PM6B2;71,00;;;;
V;348700;;;LIHH / LIHCH;80,39;;;;
V;348702;;;Datakabel LIHCH LAPP;77,65;;;;
V;348710;;;Funktionssäker larmakabel Rutab;72,90;;;;
V;348750;;;Koaxialkabel;66,97;;;;
V;348994;;;Solar Netto;50,00;;;;
V;348995;;;Solar Plus;75,00;;;;
V;349100;;;Oskärmad kabel Commscope;76,17;;;;
V;349104;;;Skärmad Kabel Commscope;78,37;;;;
V;349108;;;Fiberkabel MM Commscope;68,37;;;;
V;349112;;;Fiberkabel SM Commscope;75,84;;;;
V;349120;;;Profinet;52,63;;;;
V;349200;;;Optokabel Melbye;73,88;;;;
V;349204;;;Blåsfiberkabel mini Melbye;71,41;;;;
V;349300;;;Datakabel Cu Nexans;72,00;;;;
V;349304;;;Optokabel Nexans;70,40;;;;
V;349350;;;Optokabel Hexatronic;69,62;;;;
V;349352;;;Blåsfiberkabel Hexatronic;69,22;;;;
V;349400;;;Cu Standard 3A =S=O;80,04;;;;
V;349412;;;Busskablar 5C =S=O;70,40;;;;
V;349500;;;Kopparkabel Excel I;35,05;;;;
V;349510;;;Cat kabel Leviton;61,49;;;;
V;349550;;;SIMATIC NET Stdkabel 5K1 SIE;17,69;;;;
V;349552;;;SIMATIC NET Speckabel Bus/Kom 5K2 SIE;16,35;;;;
V;349600;;;Busskablar Solar;72,10;;;;
V;349604;;;Datakablar Belden;73,56;;;;
V;349650;;;Fiberkabel VMC;35,07;;;;
V;349702;;;Fiberkablar TKF III;26,70;;;;
V;349800;;;Datakabel Cu 34 Elko;75,00;;;;
V;349900;;;Busskablar Rutab;74,14;;;;
V;349904;;;Actassi Fo Lan Kabel 3G =S=;9,00;;;;
V;349906;;;Busskabel  LAPP;40,81;;;;
V;349994;;;Solar Netto;50,00;;;;
V;349995;;;Solar Plus;75,00;;;;
V;350100;;;Blåsfiberkabel Melbye;70,19;;;;
V;350102;;;Blåsfiberkanalisation Melbye;71,15;;;;
V;350104;;;Blåsfiberkopplingar Melbye;71,55;;;;
V;350114;;;Fiberuttag och Väggboxar Melbye;66,35;;;;
V;350120;;;Dämpare Melbye;40,63;;;;
V;350122;;;Sökutrustning Melbye;46,30;;;;
V;350130;;;ODF ochTbh Till ODF Melbye;71,54;;;;
V;350140;;;Patchkablage FTTX Melbye;68,14;;;;
V;350146;;;Pigtail Fanout Och Adaptrar Melbye;68,39;;;;
V;350160;;;Skarvboxar och Markskåp Melbye;46,14;;;;
V;350170;;;Tillbehör Leviton;45,51;;;;
V;350180;;;Fiberoptic Matrix;60,00;;;;
V;350200;;;Cyb 7E =S=;67,82;;;;
V;350204;;;Montageram fiber Actassi 3H =S=O;18,63;;;;
V;350207;;;Blåsfiber Hexatronic;71,23;;;;
V;350212;;;Actassi Panel & Patch 3G =S=O;32,00;;;;
V;350214;;;Actassi Pigtail & Don 3G =S=O;13,41;;;;
V;350252;;;Nätmaterial 33 Elko;61,85;;;;
V;350254;;;Övrig Fiberoptik 33 Elko;64,32;;;;
V;350272;;;Kopplingsbox Ateco;19,45;;;;
V;350300;;;Plintar Fatum;71,85;;;;
V;350320;;;Fiber Patch Optifab;50,00;;;;
V;350352;;;Verktyg 3M;30,49;;;;
V;350400;;;Nätmaterial C3 Connect;33,21;;;;
V;350402;;;Nätmaterial C3 Connect Telia;36,40;;;;
V;350404;;;Verktyg C3 Connect;35,81;;;;
V;350406;;;TOSP C3 Connect;29,63;;;;
V;350408;;;TOSP C3 Connect Skannova;28,72;;;;
V;350450;;;kopplingsmaterial Connexio Ensto;74,63;;;;
V;350500;;;Patchkablage Commscope;72,14;;;;
V;350502;;;Väggboxar Commscope;62,34;;;;
V;350504;;;Fiberadaptrar Commscope;59,92;;;;
V;350550;;;Opto Emtelle;70,52;;;;
V;350551;;;Mikrokanalisation Emtelle;72,65;;;;
V;350552;;;Tillbehör Emtelle;48,60;;;;
V;350554;;;Tillbehör rör komm Terana;68,54;;;;
V;350600;;;Fiberboxar Enoc;61,48;;;;
V;350602;;;Tele/Datastativ Enoc;69,33;;;;
V;350604;;;Marksskåp Enoc;59,48;;;;
V;350700;;;Optomaterial Tykoflex 35;37,79;;;;
V;350702;;;Optomaterial Tykoflex 30;21,95;;;;
V;350800;;;FIBERBOXAR NEXANS;56,93;;;;
V;350802;;;Fiberboxar ODF Nexans;66,00;;;;
V;350808;;;Förterminerad ODF M Stubbkabel Nexans;60,13;;;;
V;350810;;;Förterminerad ODF Nexans;58,29;;;;
V;350818;;;Dämpare Nexans;31,11;;;;
V;350820;;;Patchkablage Fiber Nexans;68,00;;;;
V;350822;;;Pigtail Fanout adaptrer Nexans;59,91;;;;
V;350824;;;Pigtail Fanout och Adaptrar Nexans;63,81;;;;
V;350826;;;Skarvskåp Nexans;67,00;;;;
V;350854;;;Mikrokanalisation Wavin 26;40,40;;;;
V;350900;;;Nätmaterial ABB;60,98;;;;
V;350901;;;Markskåp telekom ABB Kabeldon;59,00;;;;
V;350902;;;Tele/Datastativ Ericsson;65,01;;;;
V;350908;;;Opto Hellermanntyton;58,24;;;;
V;350910;;;Opto Macab;10,26;;;;
V;350912;;;Optomaterial Memoteknik;44,62;;;;
V;350914;;;Tele/Datastativ MP 005;67,54;;;;
V;350916;;;Optomaterial Optomize;39,01;;;;
V;350922;;;Nätmaterial TJEDER;66,49;;;;
V;350926;;;Nätmateriel VMC;58,21;;;;
V;350928;;;Plintar och Kopplingsboxar Linjator;66,53;;;;
V;350930;;;Stitec Markskåp 50;47,65;;;;
