Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;305620;;;Dricksvattenkabel;73,11;;;;
V;305702;;;Solcellskabel  Melbye;52,04;;;;
V;305994;;;Solar Netto;50,00;;;;
V;305995;;;Solar Plus;75,00;;;;
V;306101;;;Korrugerade kabelrör Pipelife X;56,96;;;;
V;306102;;;Korrugerade kabelrör Pipelife;50,32;;;;
V;306104;;;DV rör Pipelife;51,04;;;;
V;306105;;;SRN rör Pipelife;33,36;;;;
V;306106;;;Tillbehör DV/SRS/SRE Pipelife;68,24;;;;
V;306107;;;Flexböj Svart Pipelife;36,73;;;;
V;306108;;;Tillbehör Brunnslock etc Pipelife;66,17;;;;
V;306110;;;SRE-P rör Pipelife;48,06;;;;
V;306112;;;Pem kabelrör Pipelife;39,38;;;;
V;306114;;;SRS rör Pipelife;32,58;;;;
V;306116;;;Markeringsband nät Pipelife;36,82;;;;
V;306118;;;Kabelrör SPN/SPP Pipelife;39,38;;;;
V;306120;;;Optokanalisation Pipelife;43,06;;;;
V;306122;;;Kabelrör delbara Pipelife;52,56;;;;
V;306126;;;Manchetter Pipelife;68,62;;;;
V;306128;;;UV SRS/SRE Pipelife;33,06;;;;
V;306130;;;Fästen Pipelife;12,34;;;;
V;306132;;;Tele rör PVC Pipelife;56,60;;;;
V;306134;;;Böj/Skarv orange Pipelife;33,32;;;;
V;306150;;;Varningsnät Expo-Net;35,20;;;;
V;306160;;;Kabelskydd & tbh ABB;51,02;;;;
V;306162;;;Kabelskydd I ABB;51,73;;;;
V;306164;;;Kabelskydd ll ABB;48,47;;;;
V;306200;;;Potential-/skyddsutjämningssystem OBO;61,21;;;;
V;306201;;;Åskskyddssystem OBO;62,07;;;;
V;306202;;;Tbh Åskskyddssystem OBO;63,70;;;;
V;306204;;;Jordningssystem OBO;68,42;;;;
V;306206;;;Skensystem OBO;57,31;;;;
V;306208;;;Kabelhållarsystem skärm OBO;54,05;;;;
V;306210;;;Plugg OBO;52,50;;;;
V;306212;;;Monteringssystem OBO;58,54;;;;
V;306220;;;Fundanmentjordning RD, FL, Klämmor DEHN;53,43;;;;
V;306222;;;Potentialutjämning Skenor, Band DEHN;55,10;;;;
V;306224;;;Yttre åskskydd RD8 AL CU Takfäste DEHN;53,43;;;;
V;306226;;;Jordtagsspett klämmor DEHN;54,08;;;;
V;306250;;;SRE Evopipe Evopipes;55,65;;;;
V;306251;;;SRN Evopipe Evopipes;57,02;;;;
V;306252;;;SRS Evopipe Evopipes;58,98;;;;
